co,route,orig_tc,orig_en,dest_tc,dest_en,orig_sc,dest_sc,data_timestamp
NWFB,914,天后站,Tin Hau Station,海麗邨,Hoi Lai Estate,天后站,海丽邨,2020-05-22T05:00:02+08:00
NWFB,914P,海麗邨,Hoi Lai Estate,天后站,Tin Hau Station,海丽邨,天后站,2020-05-22T05:00:02+08:00
NWFB,914X,海麗邨,Hoi Lai Estate,天后站,Tin Hau Station,海丽邨,天后站,2020-05-22T05:00:02+08:00
NWFB,91A,鴨脷洲邨,Ap Lei Chau Estate,華富 (南),Wah Fu (South),鸭脷洲邨,华富 (南),2020-05-22T05:00:02+08:00
NWFB,93,海怡半島 / 鴨脷洲邨,South Horizons / Ap Lei Chau Estate,羅便臣道,Robinson Road,海怡半岛 / 鸭脷洲邨,罗便臣道,2020-05-22T05:00:02+08:00
NWFB,93A,利東邨,Lei Tung Estate,羅便臣道,Robinson Road,利东邨,罗便臣道,2020-05-22T05:00:02+08:00
NWFB,94,利東邨,Lei Tung Estate,中環碼頭,Central (Ferry Piers),利东邨,中环码头,2020-05-22T05:00:02+08:00
NWFB,948,青衣 (長安邨),Tsing Yi (Cheung On Estate),天后站,Tin Hau Station,青衣 (长安邨),天后站,2020-05-22T05:00:02+08:00
NWFB,948A,長安邨,Cheung On Estate,天后站,Tin Hau Station,长安邨,天后站,2020-05-22T05:00:02+08:00
NWFB,948B,青衣 (翠怡花園),Tsing Yi (Greenfield Garden),天后站,Tin Hau Station,青衣 (翠怡花园),天后站,2020-05-22T05:00:02+08:00
NWFB,948P,長安邨,Cheung On Estate,天后站,Tin Hau Station,长安邨,天后站,2020-05-22T05:00:02+08:00
NWFB,948X,長宏邨,Cheung Wang Estate,天后站,Tin Hau Station,长宏邨,天后站,2020-05-22T05:00:02+08:00
NWFB,94A,華富 (中),Wah Fu (Central),利東邨,Lei Tung Estate,华富 (中),利东邨,2020-05-22T05:00:02+08:00
NWFB,95,鴨脷洲邨 / 利南道工業區,Ap Lei Chau Estate / Lee Nam Road Industrial Area,香港仔 / 石排灣,Aberdeen / Shek Pai Wan,鸭脷洲邨 / 利南道工业区,香港仔 / 石排湾,2020-05-22T05:00:02+08:00
NWFB,970,數碼港,Cyberport,蘇屋邨,So Uk Estate,数码港,苏屋邨,2020-05-22T05:00:02+08:00
NWFB,970X,香港仔,Aberdeen,蘇屋邨,So Uk Estate,香港仔,苏屋邨,2020-05-22T05:00:02+08:00
NWFB,971,香港仔 (石排灣),Aberdeen (Shek Pai Wan),海麗邨,Hoi Lai Estate,香港仔 (石排湾),海丽邨,2020-05-22T05:00:02+08:00
NWFB,971R,數碼港 (經域多利道),Cyberport  (via Victoria Road),旺角,Mong Kok,数码港 (经域多利道),旺角,2020-05-22T05:00:02+08:00
NWFB,980A,碩門邨,Shek Mun Estate,灣仔,Wan Chai,硕门邨,湾仔,2020-05-22T05:00:02+08:00
NWFB,980X,馬鞍山 (烏溪沙站),Ma On Shan (Wu Kai Sha Station),灣仔,Wan Chai,马鞍山 (乌溪沙站),湾仔,2020-05-22T05:00:02+08:00
NWFB,985,沙田 (美田邨),Shatin (Mei Tin Estate),銅鑼灣,Causeway Bay,沙田 (美田邨),铜锣湾,2020-05-22T05:00:02+08:00
NWFB,985A,沙田 (美田邨),Shatin (Mei Tin Estate),銅鑼灣,Causeway Bay,沙田 (美田邨),铜锣湾,2020-05-22T05:00:02+08:00
NWFB,985B,田心村,Tin Sam Village,銅鑼灣,Causeway Bay,田心村,铜锣湾,2020-05-22T05:00:02+08:00
NWFB,9C,筲箕灣,Shau Kei Wan,歌連臣角,Cape Collinson,筲箕湾,歌连臣角,2020-05-22T05:00:02+08:00
NWFB,9S,筲箕灣,Shau Kei Wan,石澳,Shek O,筲箕湾,石澳,2020-05-22T05:00:02+08:00
NWFB,FE1,中環碼頭,Central (Ferry Piers),中環 (交易廣場),Central (Exchange Square),中环码头,中环 (交易广场),2020-05-22T05:00:02+08:00
NWFB,H1,中環 (天星碼頭),Central (Star Ferry),尖沙咀,Tsim Sha Tsui,中环 (天星码头),尖沙咀,2020-05-22T05:00:02+08:00
NWFB,H1A,中環 (天星碼頭),Central (Star Ferry),尖沙咀,Tsim Sha Tsui,中环 (天星码头),尖沙咀,2020-05-22T05:00:02+08:00
NWFB,H2,中環 (天星碼頭),Central (Star Ferry),尖沙咀,Tsim Sha Tsui,中环 (天星码头),尖沙咀,2020-05-22T05:00:02+08:00
NWFB,H2S,中環 (大會堂),Central (City Hall),旺角(洗衣街),Mongkok (Sai Yee Street),中环 (大会堂),旺角(洗衣街),2020-05-22T05:00:02+08:00
