co,route,orig_tc,orig_en,dest_tc,dest_en,orig_sc,dest_sc,data_timestamp
CTB,20,啟德 (沐寧街),Kai Tak (Muk Ning Street),大角咀 (維港灣),Tai Kok Tsui (Island Harbourview),启德 (沐宁街),大角咀 (维港湾),2020-05-22T05:00:02+08:00
CTB,20R,香港體育館,Hong Kong Coliseum,啟德 (沐安街),Kai Tak (Muk On Street),香港体育馆,启德 (沐安街),2020-05-22T05:00:02+08:00
CTB,22,啟德郵輪碼頭,Kai Tak Cruise Terminal,九龍塘 (又一城),Kowloon Tong (Festival Walk),启德邮轮码头,九龙塘 (又一城),2020-05-22T05:00:02+08:00
CTB,22M,啟德郵輪碼頭,Kai Tak Cruise Terminal,九龍城,Kowloon City,启德邮轮码头,九龙城,2020-05-22T05:00:02+08:00
CTB,25A,灣仔北,Wan Chai North,寶馬山,Braemar Hill,湾仔北,宝马山,2020-05-22T05:00:02+08:00
CTB,260,中環 (交易廣場),Central (Exchange Square),赤柱市場,Stanley Market,中环 (交易广场),赤柱市场,2020-05-22T05:00:02+08:00
CTB,307,大埔中心,Tai Po Centre,中環碼頭／上環,Central (Ferry Piers) / Sheung Wan,大埔中心,中环码头／上环,2020-05-22T05:00:02+08:00
CTB,307A,大埔頭,Tai Po Tau,上環,Sheung Wan,大埔头,上环,2020-05-22T05:00:02+08:00
CTB,307P,天后站,Tin Hau Station,大埔 (汀太路),Tai Po (Ting Tai Road),天后站,大埔 (汀太路),2020-05-22T05:00:02+08:00
CTB,314,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),赤柱 (海灘／市場),Stanley (Beach / Market),小西湾 (蓝湾半岛),赤柱 (海滩／市场),2020-05-22T05:00:02+08:00
CTB,347,金鐘 (西),Admiralty (West),香港仔 (經域多利道),Aberdeen (via Victoria Road),金钟 (西),香港仔 (经域多利道),2020-05-22T05:00:02+08:00
CTB,37A,置富花園,Chi Fu Fa Yuen,中環,Central,置富花园,中环,2020-05-22T05:00:02+08:00
CTB,37B,置富花園,Chi Fu Fa Yuen,金鐘,Admiralty,置富花园,金钟,2020-05-22T05:00:02+08:00
CTB,37S,中環(交易廣場),Central (Exchange Square),置富花園,Chi Fu Fa Yuen,中环(交易广场),置富花园,2020-05-22T05:00:02+08:00
CTB,37X,置富花園,Chi Fu Fa Yuen,金鐘,Admiralty,置富花园,金钟,2020-05-22T05:00:02+08:00
CTB,40,華富 (北),Wah Fu (North),灣仔北,Wan Chai North,华富 (北),湾仔北,2020-05-22T05:00:02+08:00
CTB,40M,華富 (北),Wah Fu (North),金鐘 (政府總部),Admiralty (Central Government Offices),华富 (北),金钟 (政府总部),2020-05-22T05:00:02+08:00
CTB,40P,華富 (北),Wah Fu (North),羅便臣道,Robinson Road,华富 (北),罗便臣道,2020-05-22T05:00:02+08:00
CTB,41A,華富 (中),Wah Fu (Central),北角碼頭,North Point Ferry Pier,华富 (中),北角码头,2020-05-22T05:00:02+08:00
CTB,43M,田灣,Tin Wan,石塘咀,Shek Tong Tsui,田湾,石塘咀,2020-05-22T05:00:02+08:00
